Mon Dec  7 12:14:23 2020    output.dat

         1226512 function calls (1205812 primitive calls) in 2.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24303    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
     7361    0.005    0.000    0.030    0.000 {built-in method builtins.next}
 1152/924    0.005    0.000    0.017    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:2387(get_affine)
     3108    0.005    0.000    0.034    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\markers.py:227(_recache)
     2160    0.005    0.000    0.009    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:882(get_siblings)
      480    0.005    0.000    0.012    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:533(anchored)
     2576    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
     1344    0.004    0.000    0.023    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:1986(scale)
     2364    0.004    0.000    0.008    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:1114(_split_drawstyle_linestyle)
     5888    0.004    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
    20677    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     3572    0.004    0.000    0.011    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\contextlib.py:117(__exit__)
     2748    0.004    0.000    0.021    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\colors.py:157(to_rgba)
      782    0.004    0.000    0.012    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\backend_bases.py:719(__init__)
      262    0.004    0.000    0.004    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    11859    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      536    0.004    0.000    0.124    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\text.py:867(get_window_extent)
     2664    0.004    0.000    0.009    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:695(set_figure)
     3431    0.004    0.000    0.014    0.000 <__array_function__ internals>:2(dot)
      672    0.004    0.000    0.010    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
      644    0.004    0.000    0.055    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:1166(findfont)
      648    0.004    0.000    0.004    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\lib\stride_tricks.py:185(_broadcast_shape)
